slug,title,image,price,sku,description/0,brand,box,connecting_wire,kit_included,warranty_period,inverter,home_features,horse_power,room_size,power_consumption,model,warranty_type,product_warranty,color_family,short_description_en,name_en,description_en,imported,product_warranty_en,quantity,delivery_option_economy,special_price,special_from_date,special_to_date,seller_promotion,package_weight,package_length,package_width,package_height,tax_class,hazmat,express_delivery
gree-inverter-ac-gs-18cith12g-15-ton-inverter-air-conditioner-cozy-series-heat-n-cool-grey,Gree Inverter AC - GS-18CITH12G - 1.5 ton - Inverter  Air Conditioner - Cozy Series - Heat N Cool - Grey,https://static-01.daraz.pk/p/e451e9cefa59c86089145b29e98fc1dc.jpg_340x340q80.jpg_.webp,"Rs. 78,999",GR678HL0KV5HWNAFAMZ-4744951,"


	
IFEEL

The mini sensor in the remote control can sense its surrounding temperature, and transmit the signal back to the indoor unit. So the unit can adjust the air flow volume and temperature accordingly so as to provide maximum comfort.


	
SixHealthFilters

	
MultiFunction&CarbonFilter

Combines 3 filters from 6 different types including acaro bacterium filter, silver ion filter, catechin filter, chitin filter, formaldehyde beater filter, and vitamin C filter to meet your various needs simultaneously.


	
ActiveCarbonFilter:

Active Carbon filter can absorb Smoke, Pet Odours, and other unpleasant odours to make your environment cleaner and healthier.


	
LowVoltageStartup

Lower voltage start up enables the compressor to start operating with a low current input and does no harm to the PCB Board.

With low voltage start up, the air conditioner performs well even in electricity fluctuation situations that Pakistan faces during summer season.


	
4FanSpeed

From super low to turbo, choose desired air flow.


	
AutoClean(X-Fan)

Cross flow fan continues blowing to dry inside of indoor unit after switching off the unit so as to keep clean and healthy.


	
LowNoise

Noise lowers to 33dB, making you feel like staying on the Moon.


	
4WayOutlet

The louvre can be vertically and horizontally adjusted so as to maximized comfort in the room.

Superior Cooling

Gree Air Conditioners have the best capability to cool the entire room in a minute. The highly efficient power compressor of Split Air Conditioner having 1.5 Ton - GS-18CITH2G gives the best cooling even on the hottest of days even if it is 52 degrees outside, you will remain cool. It has all the features you need to have to maintain a cool environment throughout. The mechanism and body of this split air conditioner is highly durable, you install it once and it won’t let you down.

SPECIFICATIONS
Specifications for GREE GS-18CITH12G Inverter Split Air Conditioner - 1.5 Ton
GENERAL SPECS
Cooling Power in Tons	1.5 Ton
Inverter 	Yes
Warranty	3 YEARS COMPRESSOR, 1 YEAR PARTS & SERVICE
GENERAL
Adjustable resistance level	
Airflow	4-Way Air
Cold Media	
Cooling effect	Heat and Cool Function
Dehumidification	
Energy efficiency class	60% Electricity saving
Heating	Yes
Maximum local Volume (Recommendation)	
Noise level	Ultra Low Noise Control
Power consumption	
Temperature	
Timer 	
Number of hours	
Voltage	150V
Water tank	
Cooling Capacity (BTU)	18000 BTU
Cooling Power in Tons	1.5 Ton
Type 	Wall Mounted
Air Purification	
Inverter 	Yes
Color	
DIMENSIONS
Dimensions (WxHxD)	
Weight	60kg
FEATURES
Display	LED display
Functions	Heat & Cool
MISCELLANEOUS
Remote control	Yes
LINKS
Product page	
Manual	Yes
Warranty	3 YEARS COMPRESSOR, 1 YEAR PARTS & SERVICE
Warranty	3 Year Warranty",Gree,"1 x Indoor Unit, 1 x Outdoor Unit, 1 x Remote, Batteries, 1 x Wall Mount for Inner, 1 x Set of Screws, 1 x Manual(s), 1 xWarranty Card",Yes,Yes,N/A,AIr Conditioner,N/A,N/A,N/A,N/A,Cozy Series Inverter AIr Conditioner,N/A,"EN
3 Year Compressor & 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,3 Year Compressor & 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
split-ac-15-ton-used-with-1-year-warranty,SplIt Ac 1.5 Ton (used with 1 year warranty),https://static-01.daraz.pk/p/5871df6f0605dacf46f8e4d0481be03c.jpg_340x340q80.jpg_.webp,"Rs. 26,500",135476510_PK-1295722783," 1.5 Ton Ac (Uesed in condition)

HAIER, KENWOOD,GREE

All are new models

With 1 year warranty

Best price",SE STORE,"Indoor, Outdoor and remote and wall mount Plate",No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dc-inverter-window-air-conditioner-with-remote-control-r410-gas-075-ton-white,DC Inverter Window Air Conditioner With Remote Control - R410 Gas - 0.75 Ton - White,https://static-01.daraz.pk/p/e917b54e434dbcfa308f82eb500ac021.jpg_340x340q80.jpg_.webp,"Rs. 35,499",EA039HL1JF0CSNAFAMZ-4038669,"RotaryCompressor
Copper Winding
0.75 Ton
8500BTU
Start at 4 Amp and Stable at 2.3 Ampere
White
Type Window
Dubai Import",easytoshop,1 x DC Inverter Window Air Conditioner With Remote Control - R410 Gas - 0.75 Ton - White1 x Manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-kenwood-kes-1820s-split-inverter-ac-15-ton-tropical-75-white-five-dimension-inverter,Kenwood Kenwood KES-1820S - Split Inverter AC - 1.5 ton - Tropical - 75% - White - Five Dimension Inverter,https://static-01.daraz.pk/p/e7fe3f4901c957c9371f409e798fe16e.jpg_340x340q80.jpg_.webp,"Rs. 96,900",KE755HL0K927CNAFAMZ-3843502,"Bringing innovation to Pakistan's Electronics Industry

Kenwood fall under the umbrella of RNI Electrical Appliances (Pvt). Ltd. R&I Electrical Appliances has come a long way since its inception some 13 years ago. With a humble beginning, it grew from a small company with three people into a growing entity that employs hundreds of people.

The combined product range of our brands includes all kitchen, home and power appliances and aim at helping you uplift your comfort and standard of living.

Specifications:
Capacity:1.5 Ton
AC Functionality:Heating & Cooling
AC Design:Wall Mount
Inverter Type:DC
Cooling Capacity:18000 BTU
Heating Capacity:18000 BTU
Gas:R410A
Color:Silver
Hidden LED Display
Stabilizer not required
DC inverter compressor
Blue Fins Condenser
Long Air throw
150 Volt Compressor start
7 Star Machine
Higher Efficency Ratio (EER 4.0)
Tropical T3 Compressor
Bigger Indoor
Bigger Outdoor
5 Dimension Inverter
Free Installation Services:

Free Installation is Only available on those items where Installation offer is displayed.Free Installation is available in Karachi, Lahore & Islamabad Only
After the product has been delivered, you are welcome to contact one of our authorized service engineers to facilitate the installation. You can find details of the installation partners and their coverage areas in the link shared below. Installation TAT is typically 2-5 days depending on the location and the partner.
When booking an installation with one of our partners, you must always provide your order number. If any free installation offer is available, we will need the order number for identification.
Click on the link to avail free installation offer: https://www.daraz.pk/installation-services/",Kenwood,1 X Inverter AC eSmart1 X Warranty Card1 X manual1 X Remote Set,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
05 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,05 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
designer-plus-invertor-30-15-ton-white,Designer Plus Invertor-30 - 1.5 ton - White,https://static-01.daraz.pk/original/1375da3f4eeb137f614a117feb9dae87.jpg_340x340q80.jpg_.webp,"Rs. 78,001",DA705HL1CIGLCNAFAMZ-4836717,"Since 1980, Dawlance Premium Home Appliances Company has been turning houses into homes with thoughtfully innovative household appliances. The legacy of Dawlance – that now stretches over more than 3 decades - started off with the production of Refrigerators. Today, Dawlance – with reliability as its core value - provides cutting edge Washing Machines, Chest Freezers, Vertical Freezers, Split AC & Microwave Ovens. Over the last 35 years, Dawlance has not only developed the largest dealer network but has also established the largest after-sales service across Pakistan.

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with it’s instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.




Super Cooling!

Experience winters in the scorching heat of summer! Yes, your unthinkable dream has been successfully translated into concrete reality, as this Air Conditioner at your very disposal, to make your life cooler and peaceful. This AC is certainly the right choice, is a reliable choice and the right pick for anyone who wants the best for their household.



Key Features

Elegant Design with Hidden Display

Turbo mode for quick cooling


",Dawlance,1 x indoor 1 x outdoor 1 x warranty card 1 x manual,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
1 year warranty",N/A,N/A,N/A,N/A,N/A,1 year warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acson-air-16-ton-cool-only-r-22-awm20j-alc20c-conditioner,Acson Air 1.6 Ton Cool Only R-22 Awm20J / Alc20C Conditioner,https://static-01.daraz.pk/original/12bde809da671c931341e785ba2e747f.jpg_340x340q80.jpg_.webp,"Rs. 115,000",AC783HL0DYQA2NAFAMZ-2919835,N/A,Acson,"1 x Indoor, 1 x Outdoor, 1 x Remote Controller, 1 x Warranty Card, 1 x user manual",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 year compressor &1 year parts warranty",N/A,N/A,N/A,N/A,N/A,3 year compressor &1 year parts warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pel-cool-smile-inverter-air-conditioner-10-ton-12k-white,PEL Cool Smile Inverter Air Conditioner 1.0 Ton - 12K - White,https://static-01.daraz.pk/p/246d66f648ee3628eee1afe34845b242.jpg_340x340q80.jpg_.webp,"Rs. 45,677",PE715HL0LLBGGNAFAMZ-1794379,10 Years Compressor 1 Year Parts Warranty,PEL,1 x Cool Smile Inverter Air Conditioner 1.0 Ton - 12K - White1 x Warranty Card,No,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
10 Years Compressor 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,10 Years Compressor 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-18cith12g-inverter-ac-15-ton-black-and-white,Gree 18CITH12G - Inverter AC - 1.5 Ton - Black & White,https://static-01.daraz.pk/original/7d3af98a3ce2ad7964831578883a0d81.jpg_340x340q80.jpg_.webp,"Rs. 82,000",GR678HL0I3FWCNAFAMZ-1904554,"Summer Would Be Cooler Than Ever!
GREE Inverter Split Air Conditioner will make this summer cooler than ever with it’s instant cooling and amazing efficiency. The amazing GS-18CITH is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded With Finesse & Style
A visually appealing addition to the room never goes unnoticed, the GREE GS-18CITH offers a wide range of superb features with a great look that will add on to your rooms. Great look of this GREE AC will speak out loud for your taste. Looks and features can be provided in one with this amazing GREE AC.

Electricity Bill Is No Worry!
The Gree Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. Gree Split Ac has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, GREE will take care of your pocket.",Gree,1 x GS-18CITH - Inverter Split Air Conditioner - 1.5 Ton - White1 x Manual1 x Warranty1 x Remote,No,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
BRAND WARRANTY",N/A,N/A,N/A,N/A,N/A,BRAND WARRANTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
changhong-ruba-1-ton-dc-inverter-cool-only-csdc-12bah-white,Changhong Ruba 1 Ton DC Inverter - Cool Only - CSDC-12BAH+ White,https://static-01.daraz.pk/p/c44be8be0017289e0a07b6964c57e5b4.jpg_340x340q80.jpg_.webp,"Rs. 57,999",CH777HL0L0AR2NAFAMZ-3576094,"DC Inverter
Cool Only
White Color
High Energy Saving
Energy Saving Up To 60%
100% Copper Connecting Pipe",Changhong Ruba,1 x Indoor Unit 1 x Outdoor Unit 1 x Remote Control 1 x Warranty Card 1 x Installation Kit 1 x User Manual,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,CSDC-12BAH+,N/A,"EN
3+1 (3 Years Compressor + 1 Year Parts)",N/A,N/A,N/A,N/A,N/A,3+1 (3 Years Compressor + 1 Year Parts),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
midea-15-ton-dc-inverter-heat-and-cool-r-410a-air-conditioner,Midea 1.5 Ton Dc Inverter Heat & Cool R-410A Air Conditioner,https://static-01.daraz.pk/p/5538ed397e1dd69b035a865684c4c23b.jpg_340x340q80.jpg_.webp,"Rs. 70,900",MI614HL1JTM7CNAFAMZ-4563538,"Midea Group is a world’s leading technologies group in consumer appliances, HVAC systems, robotics and industrial automation systems. Since the 1st Midea air conditioner came out in 1985, Midea has formed a global industrial layout for its residential air conditioners. Owning 6 domestic and 5 overseas manufacturing bases, Midea has full range residential AC products: Split, Window, Portable, Dehumidifier and Light Commercial. Annual production capacity is over 33 million sets, equipped with the largest and most advanced CKD & SKD production lines and workshops with capacity over 3 million.With China’s most complete AC industrial chain, professional R&D lab and internationalized manufacturing bases, Midea residential air conditioners have ranked No.1 of export sales for consecutive 10 years.",Midea,"1 x Indoor, 1 x Outdoor, 1 x Remote Controller, 1 x Warranty Card",No,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 year compressor & 1 year parts warranty",N/A,N/A,N/A,N/A,N/A,3 year compressor & 1 year parts warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-inverter-ac-kdc-1824s-glow-inverter-air-conditioner-series-75-saving-18000btu-white,Kenwood Inverter AC KDC-1824S GLOW Inverter Air Conditioner Series - 75% Saving - 18000BTU - White,https://static-01.daraz.pk/p/e4d4f9937ac8bf8315493dc93d7376c7.jpg_340x340q80.jpg_.webp,"Rs. 84,499",KE755HL05I2M8NAFAMZ-4063504,"Product Details Of Kenwood Inverter AC KDC-1824S GLOW Inverter Air Conditioner Series - 75% Saving - 18000BTU - White

The New Kenwood DC inverter AC promises cooling in every inch of your room. With its latest technology the eInverter Glow ensures up to 75% energy efficiency earning itself a 5 star rating. With high ambient cooling and heating function, this model is the perfect choice for both summers and winters while not compromising on energy savings.",Kenwood,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,Yes,Yes,N/A,Air Conditioner Series,N/A,N/A,N/A,N/A,Glow Inverter Air Conditioner Series,N/A,"EN
05 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,05 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-18cithi-12g-dc-inverter-ac-15-ton,Gree 18CITHI 12G- DC Inverter AC - 1.5 Ton,https://static-01.daraz.pk/p/mdc/177240a460753261a415bf6774906661.jpg_340x340q80.jpg_.webp,"Rs. 79,499",2779851_PK-1252862621,"Brand Warranty
Refrigerant: R410 A gas
Applicable Room Size: 160-220 sq.ft
Current: 9 Amp
Turbo Cool
Auto restart
Long Distance Air Throw
BTU Capacity: 1.5 Ton(18000BTU)
Low Voltage Startup: 150V
Eco Friendly GAS: R410A
Energy Efficient Class A+: 60% Electricity saving",Warranty,1 x Gree 18CITHI - Inverter AC - 1.5 Ton - Grey,Yes,Yes,N/A,Yes,N/A,N/A,150-250 sq meters,0,18CITH,N/A,"EN
3 Years Brand Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Karachi
dawlance-econo-plus-series-inverter-15-ton-30-extra-saving-model-white,Dawlance Econo Plus Series Inverter 1.5 TON - 30% Extra Saving Model - White,https://static-01.daraz.pk/p/998b093267d6a8f4d44e8c866b2f7a63.jpg_340x340q80.jpg_.webp,"Rs. 76,990",130881557_PK-1290784435,"•Inverter Compressor

•100% Copper Connecting Pipes.

•Self cleaning Function

•Voltage range: 150 to 260 V

•Anti-F feature

•Typhoon air technology

•1100mm Bigger indoor

•Large air throw

Warranty:

1 Year Parts

3 Years Compressor",Dawlance,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,Yes,Yes,N/A,",",N/A,N/A,N/A,N/A,"Elegance 30 Inverter,",N/A,"EN
12 Years",N/A,N/A,N/A,N/A,N/A,12 Years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-inverter-ac-kee-1827s-eco-inverter-air-conditioner-series-75-saving-18000btu-black,Kenwood Inverter AC KEE-1827S ECO Inverter Air Conditioner Series - 75% Saving - 18000BTU - Black,https://static-01.daraz.pk/p/071088d32013ffedff11edf8b2ed7ebf.jpg_340x340q80.jpg_.webp,"Rs. 84,499",KE755HL0BGEO0NAFAMZ-4063505,"Product Details Of Kenwood Inverter AC KEE-1827S ECO Inverter Air Conditioner Series - 75% Saving - 18000BTU - Black

Presenting the new eInverter Eco in a metallic grey finish, that is designed to enhance the decor of your room. This model is the perfect combination of advanced technology complimented by its modern design. With up to 75% energy efficiency, heat and cool function, this model is ideal choice for your space without compromising on quality.",Kenwood,1 X Inverter AC1 X Warranty Card1 X Remote Set1 X Manual,Yes,Yes,N/A,Air Conditioner Series,N/A,N/A,N/A,N/A,Eco Inverter Air Conditioner Series,N/A,"EN
05 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,05 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-kdc-1824s-glow-inverter-air-conditioner-75-saving-15-ton-white,Kenwood KDC-1824S - GLOW-Inverter Air Conditioner - 75% Saving - 1.5 Ton - White,https://static-01.daraz.pk/p/ebf62f0f63650adaa516f2b8fe53059f.jpg_340x340q80.jpg_.webp,"Rs. 74,998",KE755HL0565RCNAFAMZ-4381263,"Kenwood KDC-1824S - GLOW-Inverter Air Conditioner - 75% Saving - 1.5 Ton - White

It’s a modern world that keeps getting better with innovative technology. All this inventions have made our lives convenient and less complicated. Kenwood is the most prominent brand, when it comes to big and small appliances. They meticulously engineer their appliances and devices and promise to deliver pleasant experience to all its users.

The New e-Inverter Glow split air conditioner is the most unique blend of iconic design and functional excellence .The highlight of this model is the innovative and modern design and the heat and cool function providing ultimate comfort in all seasons with up to 75% energy efficiency. The distinguished features of e-Inverter Glow are the 3D air flow design system, long air throw, I-Feel Funtion and five years compressor warranty.

Features:
Heat and Cool function
DC inverter compressor
I-Feel Function
Intelligent Sleep Mode
Anti-Fungus Funtion
Easy Self Cleaning
Auto Restart
High Ambient Cooling
Tropical T-1
Heat And Cool
Hydrophilic Aluminium Fins
100% Copper Pipes
Up to 75% energy efficient
3D Air Flow
Long Distance Air throw
Hidden LED Display
Installation Kit 100% Pure Copper
Stabilizer not required
Refrigerant Gas R410A
5 Year Compressor and 1 Year parts warranty",Kenwood,"1 X Inverter AC, 1 X Warranty Card, 1 X Manual, 1 X Remote Set",No,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
05 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,05 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
imported-window-air-conditioner-manual-075-ton-60-energy-saving,Imported Window Air Conditioner Manual - 0.75 Ton 60% Energy Saving,https://static-01.daraz.pk/p/91e36b73f066f87d723f76b1e0b08ac0.jpg_340x340q80.jpg_.webp,"Rs. 27,000",111034074_PK-1262098895,"Product details of Imported DC Inverter 0.75 Ton Window Air Conditioner 

 

Specifications of Cool Imported DC Inverter - 0.75 Ton Window Air Conditioner 
Window Air Conditioner

One of the cheapest solutions for home cooling is to find afunction over quality. Besides, an ideal window air conditioner available online in Pakistan should function between 9,000 to 14,000 BTUs on the upside. Its costs less, yet it benefits in the long term and the installation process is adequately simple. Multiple factors such as design, the right size, and brand carry additional aspects that is directly depended in the space provided for cooling.

Best Air Conditioner Online in Pakistan

Have you considered the idea to buy 1 ton air conditioner in Pakistan if your need is to cool a single room? Whereas, if the solution requires for a bigger space cooling then turn towards split air conditioners online as these accumulate more space but gives more cooling. Take measurements before you begin your purchase, for example, that about 8,000 BTUs are enough to freeze 350 square feet of space throughout the day. Window air conditioner consists of a compressor, evaporator, and condenser.

Why Choose Window AC over Split AC?

Basically it is the old version of the modern split air conditioner you are accustomed to see around the electronic sphere. What sets the two models apart is the design and installation (function). Window air conditioner is fixed when its cooling fins are facing indoors, but the heating unit is kept on the opposing side. Firstly, the inner compartments contains fans at the front with evaporators behind and its filter in the middle that’s operated via the central control panel. Secondly, the condenser along with the compressor is mashed in a box that is kept outward for noise reduction and of course to minimize the space.

Almost equally powerful – as explained above – a 0.75 ton air conditioner in Pakistan is available according to the home and office requirement of any consumer.",AC,1 x DC Inverter Window Air Conditioner - 0.75 Ton - White,N/A,N/A,N/A,No,60% Energy Saving,9000,30-90 sq meters,750,9000BTU 0.75 Ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
skyiwood-075-ton-window-air-conditioner-r410-gas-remote-control,Skyiwood 0.75 Ton window Air Conditioner R410 Gas Remote Control,https://static-01.daraz.pk/p/4cdb85feff994b7381c2349668f94236.jpg_340x340q80.jpg_.webp,"Rs. 45,000",114748584_PK-1266530559,"Skywood 0.75 Ton AC
DC Inverter Technology
In starting it takes 4 A and then takes 2.3 A after 15-20 minutes
60% Energy saving
Brand New
COmes In a Carton With Remote and User manual
Remote Control
Refrigerint R410A
Rotary compressor
Cooling Capacity 9000Btu/h
Current 4.3 A
Compatible with 3.2KW Solar Inverter
Power Input940W
Indoor air volume 340m3/h
Weight :27KG
Rated Voltage:220v-240v
Rated Frequency 50Hz
Refrigerent/charge R22/0.320kg
Outdoor unit water proof protection IPX4",Skyiwood,1x DC inverter 0.75 ac 1x User manual 1x Remote,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,SKY-9KBTU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orient-ultron-plus-inverter-ac-with-gold-fin-technology-1-ton-white,Orient Ultron Plus - Inverter AC With Gold-Fin Technology - 1 Ton - White,https://static-01.daraz.pk/original/0a266277071ad343f427bea257adf98f.jpg_340x340q80.jpg_.webp,"Rs. 52,999",OR771HL11S3BQNAFAMZ-3066701,"Orient Electronics Pvt. Ltd, established in 2005, is one of the fastest growing consumer electronic companies in Pakistan. With a wide range of home appliances, including Air Conditioners, Refrigerators, LED TVs, Water Dispensers, Microwave Ovens etc., the company is proud to introduce modern technologies in the industry at a very affordable price. A dedicated workforce, professionals and the inspiring management leadership of Orient Electronics have powered the company to pursue its vision and mission which lead to innovation.

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with it’s instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.

Electricity Bill is No Worry!

The Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. This Inverter AC has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, it will take care of your pocket.




Specifications:
Capacity: 1.5 Ton
AC Functionality: Heating & Cooling
AC Design: Wall Mount
Inverter Type: DC
Cooling Capacity: 18000 BTU
Heating Capacity: 18000 BTU
Condenser: Gold Fin
Color: White
Gas: R410a
Voltage: 140 - 180 V


50 Feet long Air Throw
Low Voltage 
Up to 60% Electricity Saving

",Orient,1 x Inner Part1 x Outer Part1 x Remote Control 1 x Warranty Card1 x User Manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 Years Compressor & 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Compressor & 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
haier-led-32-inch-b9200-miracast-mobile-connection,Haier LED 32 inch B9200 MIRACAST MOBILE CONNECTION,https://static-01.daraz.pk/p/17e722124343d9da7a9d1cbe1f394cd5.jpg_340x340q80.jpg_.webp,"Rs. 22,499",HA779EL0URSU0NAFAMZ-1784793,Haier LED 32 inch B9200,Haier,1 x 32 HD LED TV - Black1 x Manual1 x Remote,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Haier LED 32 inch B9200 MIRACAST MOBILE CONNECTION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-kei-1833s-eicon-plus-split-heat-and-cool-tropical-ac-15-ton-white,Kenwood KEI-1833S - eICON Plus Split - Heat & Cool - Tropical AC - 1.5 Ton - White,https://static-01.daraz.pk/p/c2544c0294a3a505df241d3556ca69bc.jpg_340x340q80.jpg_.webp,"Rs. 52,499",KE755HL0EAQ5KNAFAMZ-3843501,"Technical Assistance: 0301-8228361 (Mon - Fri; 10 AM - 7 PM)
See Below Description for Installation & EMI Details
Brand Warranty
1.5 Ton / 18000 BTU
180 - 200 V
R410 gas

Turbo cool

24hr timer

Auto clean

Auto restart

Hidden LED display

Intelligent sleep mode

Eco-friendly technology

Inner-grooved copper tube
1.5 Ton Cooling Capacity",Kenwood,1 X ICON Split AC1 X Warranty Card1 X Manual1 X Remote Set,Yes,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,"EN
03 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,03 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-inverter-ac-econo-plus-30-15-ton-30-extra-energy-saving-inverter-series-white,Dawlance Inverter AC Econo Plus 30 - 1.5 TON - 30% Extra Energy Saving Inverter Series - White,https://static-01.daraz.pk/p/9eb409deead2b4a14e129b87b09499c6.jpg_340x340q80.jpg_.webp,"Rs. 67,500",DA705HL0K52RGNAFAMZ-4031690,"Econo Inverter Series

Now with the new Dawlance Inverter Range, summers and bills are no longer a concern. Save up to PKR 30,000 annually with our new Inverter AC range. This season our Advanced Typhoon Air Technology with its bigger indoor and more air throw offers a complete solution to counter hot weather.

Key Features

Inverter Compressor

(Upto PKR 30,000 Annual Savings.

100% Copper

Connecting Pipes.

Self Cleaning

Function.

150 To 260 V

Voltage Range

Anti-F

Feature

Typhoon Air Technology

1100mm Bigger Indoor

Large Air Throw",Dawlance,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Econo Plus Extra Energy Saving Series,N/A,"EN
12 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,12 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
