slug,title,image,thumbnails,cutting_price,price,sku,capacity,description/0,brand,box,connecting_wire,kit_included,warranty_period,inverter,home_features,horse_power,room_size,power_consumption,model,warranty_type,product_warranty,color_family,short_description_en,name_en,description_en,imported,product_warranty_en,quantity,delivery_option_economy,special_price,special_from_date,special_to_date,seller_promotion,package_weight,package_length,package_width,package_height,tax_class,hazmat,express_delivery
changhong-ruba-split-air-conditioner-15-ton-csc-18qdh-white,Changhong Ruba Split Air Conditioner - 1.5 Ton - CSC-18QDH - White,https://static-01.daraz.pk/p/mdc/6a66bd2beb8556f4393e529d9efefd57.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/mdc/6a66bd2beb8556f4393e529d9efefd57.jpg_80x80q80.jpg_.webp,,"Rs. 57,999",100919649_PK-1246321353,1.5 Ton / 18000 BTU,,Changhong Ruba,1 x Indoor Unit 1 x Outdoor Unit 1 x Warranty Card 1 x User Manual 1 x Wall Mount Bracket 1 x Remote with Batteries 1 x Connecting pipe 10 feet,Yes,Yes,N/A,No,N/A,N/A,N/A,N/A,CSC-18QDH,N/A,"EN
3 Years Compressor / 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Compressor / 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-kei-4830f-imperial-4-ton-floor-standing-ac,Kenwood KEI-4830F - Imperial 4 Ton Floor Standing AC,https://static-01.daraz.pk/p/8033090de2dbdf2e823eeeb10e21a67e.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/8033090de2dbdf2e823eeeb10e21a67e.jpg_80x80q80.jpg_.webp,,"Rs. 170,500",132122228_PK-1292325100,N/A,"Kenwood 4 ton Imperial Floor Standing is the latest 2018 variant from Kenwood Pakistan.

• It comes with heat and cool function which adapts to the unfolding seasons and maintains the desired room temperature in every area and performs efficiently in even at 50 degrees and also provides unifrom heating even at -7 degrees. 

• Kenwood 4 ton floor standing series KEI-4830FH model is also equipped with 4d airflow to ensure a harmonized temperature throughout the room, air blades and air louvers swing not only vertically but also horizontally, which helps to improve air distribution and flow and makes you feel comfortable during hot summers and cold winters. 

• Equipped with golden fins condenser and 100% copper piping which prevents leakage and all motors have copper winding.  

 

Specifications:

Cooling Power in Tons  

	

4.0 Ton




 Inverter

	

Yes




GENERAL




 Airflow  

	

Comfortable Air flow




 Cold Media  

	

Yes




 Cooling effect  

	

Fast Cooling




 Energy efficiency class  

	

High Efficiency




 Heating  

	

Yes




 Noise level  

	

Low




 Timer  

	

Yes




 Number of hours  

	

10 Hours




 Cooling Power in Tons  

	

4.0 Ton




 Type  

	

Wall Mounted




 Inverter  

	

Yes




 Color  

	

White




FEATURES




Display  

	

LED




Functions  

	

Heat & Cool




MISCELLANEOUS




Remote control  

	

Yes",Kenwood,"1 x Floor Standing Air Conditioner, 1x Warranty Card, 1x Manuals",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,KEI-4830F,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ac-gree-12cith13-dc-inverter-1-ton-split-50-to-70-energy-saving,AC GREE 12CITH13 DC INVERTER 1 Ton Split 50% to 70% Energy Saving,https://static-01.daraz.pk/p/f96627f86e14e73a59830243bbfa5b92.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/f96627f86e14e73a59830243bbfa5b92.jpg_80x80q80.jpg_.webp,"Rs. 81,000","Rs. 79,499",109800666_PK-1260298016,1 Ton / 12000 BTU,"Manfc Part #
	
Gree 12CITH13 1Ton Inverter AC White


Brand
	
Gree


Inverter
	
Yes


Wi-Fi
	
No


Self Cleaning
	
No


Type
	
Wall Mounted


Ton
	
1.0 Ton


Color Class
	
White


Compressor Warranty
	
No


Warranty
	
1 Year Parts + 3 Years Compressor


Heat & Cool
	
Yes",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,Yes,Energy Saving 60% to 70%,12000,186 sqft,3512,GS-12CITH13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
whirlpool-split-inverter-amarican-brand-1-ton-6-sense-world-no-1-brand,Whirlpool Split Inverter Amarican Brand 1 ton 6 Sense World No 1 Brand,https://static-01.daraz.pk/p/91113e3b21038f023165e1a300669261.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/91113e3b21038f023165e1a300669261.jpg_80x80q80.jpg_.webp,"Rs. 87,000","Rs. 66,999",110122444_PK-1260854018,N/A,"AMERCIAN BRAND
THE ALL-NEW 3D COOL INVERTER ACs
With 6th SENSE IntelliComfort Technology
WORLD’S LEADING AC TECHNOLOGY
INVERTER - 3D COOL
HOT & COOL
UPTO 40% FASTER COLING",Whirlpool,"1x Whirlpool Dx Series White, 1x Warranty Card",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,SPIW412DX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
haier-hsu-12-sgf-dc-inverter-air-conditioner-10-ton,Haier HSU-12-SGF - DC Inverter Air Conditioner - 1.0 ton,https://static-01.daraz.pk/p/4f3b9fb8630a74c998740b2fa2913ae5.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/4f3b9fb8630a74c998740b2fa2913ae5.jpg_80x80q80.jpg_.webp,"Rs. 71,999","Rs. 64,999",100900013_PK-1265038258,1 Ton / 12000 BTU,"UPS Enabled Air Conditioners

""You can enjoy the comfort even if there is no electricity. Air Conditioner* can work on UPS in case of power outages, a small device enables Haier Air Conditioners to work on your Existing Home UPS*, if it has Minimum 500 watts of vacant load, it will give you 3-4 hours backup time. (depends upon the health of the battery) * UPS Module Device is mandatory to operate the AC on UPS. ** Selective Models/Series Only.""

One Touch Cleaning

Haier Innovative ""One Touch Cleaning"" system that self-cleans your Air Conditioner proficiently. Its Cold Compression Technology Effectively Clean the Evaporator by Simply pressing a ""Self Clean"" button starts the self-cleaning process and takes away all your regular cleaning and maintenance worries. It also features a Healthy Air Flow option that allows the airflow to be adjusted so as not to blow directly on your body.

46°C Full BTU

Haier Innovative Design and Technology provides what you paid for. Full BTU even at 46°c hot outdoor ambient ensures full cooling capacity of the BTU rating mentioned on the product without any loss of cooling efficiency.",Haier,"1x Inner Unit, 1x Outer Unit, 1x Remote Control, 1x Batteries, 1x Installation Pipes, 1x Wall Mount, 1x Manual(s), 1x Warranty Card",Yes,Yes,N/A,Yes,N/A,N/A,90-150 sq meters,4,HSU-12-SGF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
changhong-ruba-18bah-15-ton-dc-inverter-split-air-conditioner,Changhong Ruba 18BAH+ 1.5 Ton DC Inverter Split Air Conditioner,https://static-01.daraz.pk/p/fef92cdf1af8f6ec069625e8113597e0.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/fef92cdf1af8f6ec069625e8113597e0.jpg_80x80q80.jpg_.webp,,"Rs. 69,000",131724837_PK-1291761173,N/A,"Changhong Ruba 18BAH+ 1.5 Ton DC Inverter Split Air Conditioner

SPECIFICATION:

Color	 White
Evaporator	Golden Fin
Condenser	Golden Fin
Inverter	DC Inverter
Low Voltage start up	150V
Cooling	Turbo Cooling
Current Impact	Soft Zero Start
Eco Friendly Refrigerant	R410A Gas

 

Auto Start	Yes    
Hidden LED Display	 Yes           

 

Applicable Room Size	20-30          
Capacity	18000 BTU
Maximum Elevation	7 meters",Warranty + (3 years compressor+ 1 Years parts),1 x Air Conditioner 1 x Kit 1 x Warranty Card 1 x Manuals,No,No,N/A,N/A,N/A,N/A,N/A,N/A,CHR 18BAH,N/A,"EN
1 Year Brand Warranty + (3 years compressor+ 1 Years parts)",N/A,N/A,N/A,N/A,N/A,1 Year Brand Warranty + (3 years compressor+ 1 Years parts),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hyundai-dc-inverter-handc-1ton-air-conditioner-elegant-series,Hyundai DC Inverter H&C 1Ton Air Conditioner (Elegant Series),https://static-01.daraz.pk/p/13189240404583210d4b6229d56af2e2.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/13189240404583210d4b6229d56af2e2.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/4cae4be99423308142d8e1fe0a218ab6.jpg_80x80q80.jpg_.webp","Rs. 74,900","Rs. 64,999",107302311_PK-1255726590,N/A,"• Similar as T3

• Auto Restart

• 5 Fan Speed

• Sleep Mode

• Auto-protection

• Dual-direction Drainage Design

• Independent Dehumidication

• Intelligent Defrost

• No Connection between Condensate Water & Electricity

• Gold Fin (Both Indoor & Outdoor)

• I Set & I Feel • Double Swing Function

• Fast & Strong Cooling • Filter-cleaning Reminder

• Comfortable Cooling

• Silver Ions

• Self-cleaning

• 55 Degree Drying

• Min.155 Volts Working

• Wi-Fi (Optional)",Hyundai,"In Door Unit with Pipes, Control, Warranty Card, and Manual Book and other box include Outdoor Unit.",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,HACEGS-1218,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
changhong-ruba-heat-and-cool-inverter-18maw-15-ton,Changhong Ruba Heat & Cool Inverter 18MAW 1.5 Ton,https://static-01.daraz.pk/p/c31a1b62e791ee5daf4dabddbd700964.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/c31a1b62e791ee5daf4dabddbd700964.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/mdc/2a0362d2a3005d555f5e3290d41db724.jpg_80x80q80.jpg_.webp","Rs. 77,999","Rs. 70,559",109514231_PK-1259858006,1.5 Ton / 18000 BTU,,Changhong Ruba,1 x Indoor Unit 1 x Outdoor Unit 1 x Warranty Card 1 x User Manual 1 x Remote with Batteries 1 x Connecting pipe 10 feet,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,CSDH-18MAW,N/A,"EN
3 Years Compressor / 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Compressor / 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
haier-hsu-18hnf-silver-66-saving-dc-inverter-15-ton-split-ac,Haier HSU 18HNF Silver 66% Saving DC Inverter 1.5 Ton Split AC,https://static-01.daraz.pk/p/225728c5553fa1e88d255288af715493.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/225728c5553fa1e88d255288af715493.jpg_80x80q80.jpg_.webp,,"Rs. 84,831",131019580_PK-1290925947,N/A,"A-PAM inverter technology is the upgrade of 180 sine wave inverter. it adopts additional mental control to decrease the vibration in the low compressor frequency and also contribute to great power saving

By A-PAM DC inverter technology, it can give 66% power saving approx.

Haier air conditioner can continue to give cooling or heating air even when the temperature comes to 52 ℃ outside.

 

Wide voltage with the fluctuations between 175V-242V has a strong adaptability, whether, under urban-peak, or insufficient power supply in remote areas, the unit is able to operate normally. Like cactus.
Common ones only resume normal operation under 220V or so, the machine would burn down if voltage is too high",Haier,1 x Inner Unit 1 x Outer Unit 1 x Remote 1 x Batteries 1 x Wall Mounts for Inner 1 x Set of Screws 1 x Installation Pipes 1 x Manual(s) 1 x Warranty Card,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,HSU 18HNF,N/A,"EN
5 Years",N/A,N/A,N/A,N/A,N/A,5 Years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-lvs-15-plus-split-air-conditioner-1-ton-white,Dawlance LVS-15 plus - Split Air Conditioner - 1 Ton - White,https://static-01.daraz.pk/p/mdc/cb884ba4cf1b0a90a855767eae434738.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/mdc/cb884ba4cf1b0a90a855767eae434738.jpg_80x80q80.jpg_.webp,"Rs. 49,900","Rs. 46,000",106762990_PK-1255058377,N/A,"LVS
Voltage fluctuations and power shutdowns have become a daily occurrence. LVS air-conditioner helps you protect your appliances from heavy voltage fluctuations. Its smart technology is capable of operating at as low as 155V and saves you additional costs of buying stabilizers.

Features:
• Low voltage start-up technology- runs perfectly on low voltage (155V).
• Auto restart function
• 3 mode operation: sleep mode, soft dry operation mode, cool mode
• Turbo-mode for quick cooling",Dawlance,1 x outdoor 1 x indoor1 x remote1 x warranty card,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hyundai-inverter-ac-hacmu-1818-wifi-enabled-imported-series-white,Hyundai Inverter AC HACMU-1818 - Wifi Enabled - Imported Series - White,https://static-01.daraz.pk/p/1fdd95fa9d95f386a8584c9457075ccb.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/1fdd95fa9d95f386a8584c9457075ccb.jpg_80x80q80.jpg_.webp,"Rs. 82,000","Rs. 77,999",134113676_PK-1294493624,N/A,"SPECIFICATIONS
DESCRIPTION	A-SERIES 1 TON	A-SERIES 1.5 TON	A-SERIES 2 TON
RATED CAPACITY (COOLING)	3500	5300	6800
RATED CAPACITY (HEATING)	3450	5400	7000
RUNNING CURRENT (COOLING)	4.9	7.5	9.9
RUNNING CURRENT (HEATING)	4.3	6.5	9.5
MINIMUM VOLTAGE	155V	155V	155V
RATED FREQUENCY	50Hz	50Hz	50Hz
REFRIGERANT	R410A	R410A	R410A
GAS QTY	1040	1300	1620
AIR FLOW	600	1200	1200
WEIGHT	11+30 KG	16+35 KG	16+48 KG
INDOOR DIMENSIONS	850×300×198	1100×330×235	1100×330×235
OUTDOOR DIMENSIONS	730×545×285	800×545×315	900×700×350",Hyundai,"Inverter AC,Warranty Card,Manual,Remote Set",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Wifi Enabled Imported Series,N/A,"EN
05 Year Compressor Warranty & 01 Year Parts Warranty",N/A,N/A,N/A,N/A,Series,05 Year Compressor Warranty & 01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ac-general-asga18feta-a-15-ton-split-50-energy-saving,AC GENERAL ASGA18FETA-A 1.5 TON Split 50% Energy Saving,https://static-01.daraz.pk/p/820a158de56c3bbe123c8e7443751dba.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/820a158de56c3bbe123c8e7443751dba.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/7b87661573153eaf56ac9e81ae010f8d.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/9cd8e06f32f5055d4d16dd454cf21d64.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/617cfa993c5cd6ebb9ad7898313e6970.jpg_80x80q80.jpg_.webp","Rs. 91,550","Rs. 89,990",112412969_PK-1263964738,1.5 Ton / 18000 BTU,"Energy Rating	3 Star
Power Input	1950 W
Type	Split
Capacity	1.5 Ton
Star Rating	3
Capacity In Tons	1.5 Ton
Ac Type	Split
Title	O General ASGA18FETA 1.5 Ton 3 Star Split AC
Brand	O General
Model No	ASGA18FETA
Dehumidification	No
Remote	Yes
Timer	Yes
Auto Restart	Yes
Front Panel Display	Yes
Color	White
Refrigerant	R-410a
Compressor	Rotary
Dual Protection Filter	No
Anti Bacteria Filter	No
Cooling Capacity	5130 Watts
Power Requirements	AC 230 V, 50 Hz
Power Input	1950 Watt
Installation DetailsInstallation of Air-conditioner is charged extra to customer at the time of installation and needs to be paid directly to the service engineer. Standard Installation of Window AC Covers only 1.Installing the Housing 2.Inserting the unit 3.Sealing the gaps with Heat insulating material 4.Connection to Stabilizer or Power point in the range of Power Cord Provided by Manufacturer. 5.Temperature/Performance Check & Demo and Maintenance tips. 6.Supporting customer in Masonry, Fabrication, and Electrical work. Not covered under standard Installation of AC- 1.Plumbing and Masonry Work if any. 2.Wiring extension from Meter to site, Power point/MCB fitting and any other Electrical work 3.Concealed piping /electrical wiring inside the wall 4.Grill/Glass Cutting and Welding work 5.Dismantling/Shifting of Old AC`sInstallation WarrantyCompressor Warranty Period:5 Years Manufacturer Warranty,Body Warranty Period: 1 Year Manufacturer WarrantyServices Included In Basic InstallationStandard Installation of Window AC Covers only 1.Installing the Housing 2.Inserting the unit 3.Sealing the gaps with Heat insulating material 4.Connection to Stabilizer or Power point in the range of Power Cord Provided by Manufacturer. 5.Temperature/Performance Check & Demo and Maintenance tips. 6.Supporting customer in Masonry, Fabrication, and Electrical work. Not covered under standard Installation of AC- 1.Plumbing and Masonry Work if any. 2.Wiring extension from Meter to site, Power point/MCB fitting and any other Electrical work 3.Concealed piping /electrical wiring inside the wall 4.Grill/Glass Cutting and Welding work 5.Dismantling/Shifting of Old AC`s",General,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,",Timer,Dehumidifier,Air Direction Control,Fast Cooling,Silent Mode,Sensor Control",50% to 70% Energy Saving with R410A Gas,18000,150-250 sq meters,1950,ASGA18FETA-A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-20-ton-dc-inverter-ac-heat-and-cool-r-410a-air-conditioner-24cith12g-grey,Gree 2.0 Ton Dc Inverter AC Heat & Cool R-410A Air Conditioner - 24cith12G - Grey,https://static-01.daraz.pk/p/776ca136450026e270527d364d475c35.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/776ca136450026e270527d364d475c35.jpg_80x80q80.jpg_.webp,,"Rs. 113,999",105602240_PK-1253012594,2 Ton / 24000 BTU,"Gree Electric Appliances Inc. of Zhuhai was founded in 1991. It is an international air conditioning enterprise which has integrated R&D, manufacturing, marketing, and service. It takes “Master of Core Technology” as the business concept and “To build a centenary enterprise” as the development target. It is leading the industry with its excellent product quality, advanced technologies, and unique sales model. So far, it has developed three brands, namely GREE, TOSOT, and KINGHOME, with a wide product range which includes residential air conditioners, central air conditioners, air source water heaters, TOSOT home appliances, Kinghome refrigerators, etc

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with its instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded with Finesse & Style

A visually appealing addition to the room never goes unnoticed, the ultimate inverter AC offers a wide range of superb features with a great look that will add on to your rooms.

Electricity Bill is No Worry!

The Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. This Inverter AC has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, it will take care of your pocket.",Gree,"1 x Indoor,1 x Outdoor,1 x Remote Controller,1 x Warranty Card",No,Yes,N/A,Yes,N/A,N/A,N/A,N/A,24cith12g,N/A,"EN
1 year parts warranty",N/A,N/A,N/A,N/A,N/A,1 year parts warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
haier-hsu-18lt-15-ton-split-air-conditioner-long-throw,Haier HSU-18LT 1.5 Ton Split Air Conditioner Long Throw,https://static-01.daraz.pk/p/84962cf914df4221e817e046d21fb565.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/84962cf914df4221e817e046d21fb565.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/ea3d3bdd55ab954cf549856a76d18ca0.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/a80526e157c17b018aad4480e259b5aa.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/5cc9d741d99d162ec754c6e1aa6c2db9.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/628b0222d32eb60acbc90d37c7ed1151.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/0b56dd665e007eb3ee0aa736b35e4274.jpg_80x80q80.jpg_.webp","Rs. 70,000","Rs. 60,499",128206765_PK-1287197420,N/A,"Kindly Visit Recharge & Estore To Purchase Professional Installation Services

Note: For professional installation services, please go to the Top Up & eStore on the Daraz homepage and select Home Services

Low Voltage Operation

Air Conditioner Can work at without interruption even the Voltage drop as low as 150V

Environment Friendly Refrigerant

Environment Friendly R410/R32 provides the complete comfort without damaging the Environment protection of Ozone Layer, that keeps away the ultra violet rays of sun from the earth.

auto restart after power restored

The function permits automatic return to previous operation conditions after a sudden power blair conditionerkout.",Haier,"Inner,Outer,Remote,user Manual, Warranty Card",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,18 LT,N/A,"EN
5 Year Compressor & 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,5 Year Compressor & 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-1-ton-inverter-inspire-plus-split-ac,Dawlance 1 ton Inverter - Inspire Plus - Split AC,https://static-01.daraz.pk/p/eab6b5552b151b1a3b156496924d5ad8.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/eab6b5552b151b1a3b156496924d5ad8.jpg_80x80q80.jpg_.webp,,"Rs. 58,650",105218648_PK-1252262307,N/A,"Full copper connection tubes
Copper u bands
5 star cooling
Home service
Efficient  model",Dawlance,"Inner, outer, 2 connection tubes, remote, warranty card, drain pipe, wall plate, fitting materials",No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ac-gree-gs-12cith13m-dc-inverter-lomo-series-1-ton-wifi-split-60-to-70-energy-saving,AC Gree GS-12CITH13M DC Inverter Lomo Series 1 Ton (Wifi) Split 60% to 70% Energy Saving,https://static-01.daraz.pk/p/a40e791279674cc29fd7689be7ef7708.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/a40e791279674cc29fd7689be7ef7708.jpg_80x80q80.jpg_.webp,"Rs. 81,000","Rs. 73,499",110042394_PK-1260722365,1 Ton / 12000 BTU,"Specifications
Title GS-12LITH11M/12W
Capacity 12000 BTU
Compressor W 3517
BTU/H Cooliing Capacity (H/S/L): 12970/12000/4172
Cooling Output Capacity (W) (H/S/L): 3800/3500/1220
Cooling Power Input (W) (H/S/L): 1560/1060/295
EER 3.74
BTU/H Heating Capacity (H/S/L): 14660/13650/4480
Heating Cooling Output Capacity (W) (H/S/L): 4740/4000/1310
Heating Power Input (W) (H/S/L): 1420/1100/330",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,Yes,Energy Saving 60% to 70%,12000,186 sqft,3512,GS-12CITH13M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ac-gree-air-conditioner-10-ton-white-gs-12lm09l,AC Gree - Air Conditioner - 1.0 Ton White GS-12LM09L,https://static-01.daraz.pk/p/02a5969e540de5c8d116506eb1dbf576.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/02a5969e540de5c8d116506eb1dbf576.jpg_80x80q80.jpg_.webp,"Rs. 65,000","Rs. 58,990",110104572_PK-1260806811,1 Ton / 12000 BTU,"1.0TON (12000 BTU) – SLVS – GS-12LM9LMEM
SERIES:LOMO
CAPACITY:1.0TON (12000 BTU)
TYPE: NON-INVERTER
GREE Fix Speed Air Condtioners are unique in their category, filled with R410a which makes them energy efficient and enable to operate on a low voltage",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,Yes,Wall Mounted,12000,186 sqft,1150,GS-12LM09L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pel-inverter-split-ac-10-ton-ace-series-pinv-12k-white,PEL Inverter Split AC 1.0 Ton ACE Series PINV 12K - White,https://static-01.daraz.pk/p/60522d6b774194e84fc65fbacea1dc32.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/60522d6b774194e84fc65fbacea1dc32.jpg_80x80q80.jpg_.webp,"Rs. 66,000","Rs. 54,999",105838575_PK-1253462799,N/A,"SEER 3.60
Biggest Indoor Unit ( 1100mm )
Bigger Outdoor Unit
Wifi Connectivity
R410a Environment Friendly Refrigerant
Elegant White Glossy Finish Panel",PEL,"Inverter AC,Warranty Card,Manual",No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ac-electrolux-dc-inverter-h-and-c-18k-sea2082t-titan-series-gold-fins-70-energy-saving,AC Electrolux DC Inverter H and C 18K SEA2082T TITAN Series Gold Fins 70% Energy Saving,https://static-01.daraz.pk/p/4d01789c257a4ed043784dcb46250d94.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/4d01789c257a4ed043784dcb46250d94.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/0d750606abd3fb3ec9c54c58e18ffec7.jpg_80x80q80.jpg_.webp","Rs. 86,000","Rs. 83,500",113930302_PK-1265594910,1.5 Ton / 18000 BTU,"Description
Golden Fins Evaporator and Condenser
Turbo Cooling
Maximum Energy Efficient
Heat & Cool for use in all seasons
Wide Voltage Range (145 V to 260 V)
Health Effecient
Anti Fungus
New Printed Circuit Board Low Voltage Start (140 V)
Works up to 55* C.",Electrolux,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,",Timer,Dehumidifier,Fast Cooling,Silent Mode",Up to 70% Energy Saving Gold Fins,18000,150-250 sq meters,1150,SEA2082T,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
