TITLE,URL,IMAGE,PRICE,SKU,DESCRIPTION,BRAND,BOX,WIRE,KIT,WARRANTY,INVERTER,FEATURES,TYPE,HOME FEATURES,HORSE POWER,ROOM SIZE,POWER CONSUMPTION,MODEL
Gree 2.0 Ton Dc Inverter AC Heat & Cool R-410A Air Conditioner - 24cith12G - Grey,www.daraz.pk/products/gree-20-ton-dc-inverter-ac-heat-cool-r-410a-air-conditioner-24cith12g-grey-i105602240-s1253012594.html?search=1,https://static-01.daraz.pk/p/776ca136450026e270527d364d475c35.jpg_340x340q80.jpg_.webp,"Rs. 113,999",105602240_PK-1253012594,"Gree Electric Appliances Inc. of Zhuhai was founded in 1991. It is an international air conditioning enterprise which has integrated R&D, manufacturing, marketing, and service. It takes “Master of Core Technology” as the business concept and “To build a centenary enterprise” as the development target. It is leading the industry with its excellent product quality, advanced technologies, and unique sales model. So far, it has developed three brands, namely GREE, TOSOT, and KINGHOME, with a wide product range which includes residential air conditioners, central air conditioners, air source water heaters, TOSOT home appliances, Kinghome refrigerators, etc

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with its instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded with Finesse & Style

A visually appealing addition to the room never goes unnoticed, the ultimate inverter AC offers a wide range of superb features with a great look that will add on to your rooms.

Electricity Bill is No Worry!

The Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. This Inverter AC has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, it will take care of your pocket.",Gree,"1 x Indoor,1 x Outdoor,1 x Remote Controller,1 x Warranty Card",No,Yes,1 year parts warranty,Yes,N/A,N/A,N/A,N/A,N/A,N/A,24cith12g
Gree 2 Ton Dc Inverter Heat & Cool R-410A Air Conditioner - 24cith11B - Black,www.daraz.pk/products/gree-2-ton-dc-inverter-heat-cool-r-410a-air-conditioner-24cith11b-black-i2114208-s10162860.html?search=1,https://static-01.daraz.pk/p/3ce17b048a17edecc7530b8c43ef3c3a.jpg_340x340q80.jpg_.webp,"Rs. 114,999",GR678HL0NZPYSNAFAMZ-4776609,"Inverter technology R410A
Energy efficient
Brand Warranty
Noiseless Operation
Easy maintenance
Brand warranty
Elegant Body style",Gree,"1 x Indoor,1 x Outdoor,1 x Remote Controller,1 x Warranty Card",No,No,1 year parts warranty,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gree Inverter Air Conditioner - GS-12FITH4WB - Fairy Inverter Series - 01ton - White,www.daraz.pk/products/gree-inverter-air-conditioner-gs-12fith4wb-fairy-inverter-series-01ton-white-i125070988-s1283010090.html?search=1,https://static-01.daraz.pk/p/299f90265e0ea72fdd3513f66649391a.jpg_340x340q80.jpg_.webp,"Rs. 65,500",125070988_PK-1283010090,"Product details of Gree GS-12FITH4WB - Fairy Inverter Air Conditioner Series - White

TECHNICAL

BTU Capacity	

12000 BTU


Compressor W	

3500


Low Voltage Startup	

150V


Eco Friendly Refrigerant	

R410A


Energy Efficient Class A+	

60% Electricity saving

 

 

COOLING

BTU/H Capacity (H/S/L*)	

13512/11942/2047


Output Capacity (W) (H/S/L*)	

3960/3500/600


Power Input (W)(H/S/L*)	

1550/1060/220


Energy Efficiency Ratio (EER)	

3.7

 

HEATING

BTU/H Capacity (H/S/L*)	

17504/12522/2047


Output Capacity (W) (H/S/L*)	

5130/3670/600


Power Input (W)(H/S/L*)	

1650/989/220


Energy Efficiency Ratio (EER)	

3.7",Gree,"Inverter AC,Warranty Card,Connecting Pipe,Manual",Yes,Yes,03 Year Compressor Warranty & 01 Year Parts Warranty, Series,N/A,N/A,N/A,N/A,N/A,N/A,Fairy Inverter Series
AC Gree 1.0 Ton Split Cool Only Air Conditioner 12LM5,www.daraz.pk/products/ac-gree-10-ton-split-cool-only-air-conditioner-12lm5-i110130322-s1260880035.html?search=1,https://static-01.daraz.pk/p/3f6fa26faf19e3df6416be178361ac9c.jpg_340x340q80.jpg_.webp,"Rs. 59,900",110130322_PK-1260880035,"Weight
	
70 kg


Air Conditioner Type
	
Wall Mounted Split


Cooling Type
	
Cool Only


Technology
	
Conventional


Cooling Capacity
	
1.0 Ton",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",No,No,N/A,Yes,"Timer,Fast Cooling,Silent Mode",Multi Split System 4,Cool Only wall Mounted,12000,180 SqFt,1150,12LM5
Gree Floor Standing Air Conditioner 2.0 Ton (GF-24FW),www.daraz.pk/products/gree-floor-standing-air-conditioner-20-ton-gf-24fw-i131722419-s1291754265.html?search=1,https://static-01.daraz.pk/p/e6dfb8ad1764f200749640bc6288797c.jpg_340x340q80.jpg_.webp,"Rs. 141,386",131722419_PK-1291754265," Features:

• Powerful Compressor

• Six Health Filters

• Magic Mirror

• Low Voltage Start up

• Overlong/3D Air Flow

• Multi Fan Speeds

• Comfortable Sleeping Mode

• Memory Function

• Automatic Drying Operation

• Auto Clean & Intelligent Defrosting

• Self Diagnosis

• On Off Timer

• Big Outdoor Unit with High Efficiency

• U-Type Inner Groove Copper Pipe

• Efficient & Quiet

• Double Fan

 

Specifications:

Technical




BTU Capacity

	

2 Ton(24000 BTU)




Compressor W

	

7034

 

Warranty:

1 Year Parts
3 Years Compressor",Gree,1 x Floor Standing AC 1 x Warranty Card1 x Manual 1 x Remote,Yes,Yes,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GF-24FW
AC Gree GS-12CITH13M Inverter 1 Ton (Wifi) Split 60% to 70% Energy Saving,www.daraz.pk/products/ac-gree-gs-12cith13m-inverter-1-ton-wifi-split-60-to-70-energy-saving-i109802612-s1260282137.html?search=1,https://static-01.daraz.pk/p/cb536a494e33c71670496ea374582fa4.jpg_340x340q80.jpg_.webp,"Rs. 81,499",109802612_PK-1260282137,"Specifications
Title GS-12CITH13M/12W
Capacity 12000 BTU
Compressor W 3517
BTU/H Cooliing Capacity (H/S/L): 12970/12000/4172
Cooling Output Capacity (W) (H/S/L): 3800/3500/1220
Cooling Power Input (W) (H/S/L): 1560/1060/295
EER 3.74
BTU/H Heating Capacity (H/S/L): 14660/13650/4480
Heating Cooling Output Capacity (W) (H/S/L): 4740/4000/1310
Heating Power Input (W) (H/S/L): 1420/1100/330",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,Yes,"Inverter,Wifi Connected,Air Direction Control,Auto Cleaning,Silent Mode,Sensor Control",Multi Split System 4,Energy Saving 60% to 70%,12000,186 sqft,3512,GS-12CITH13M
GREE 1.0 TON SPLIT COOL ONLY AIR CONDITIONER 12LM4,www.daraz.pk/products/gree-10-ton-split-cool-only-air-conditioner-12lm4-i110096660-s1260802813.html?search=1,https://static-01.daraz.pk/p/abb5a2b9ee3135a2287d90172e6ba292.jpg_340x340q80.jpg_.webp,"Rs. 56,499",110096660_PK-1260802813,"Weight
	
70 kg


Cooling Capacity
	
1.0 Ton


Technology
	
Conventional


Cooling Type
	
Cool Only


Air Conditioner Type
	
Wall Mounted Split",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",No,No,N/A,Yes,"Fast Cooling,Silent Mode",Single Split System,Simple AC,12000,186 sqft,1150,12LM4 1 Ton
Gree 2 Ton Dc Inverter Heat & Cool R-410A Air Conditioner - 24cith11S - Silver,www.daraz.pk/products/gree-2-ton-dc-inverter-heat-cool-r-410a-air-conditioner-24cith11s-silver-i3407444-s1247135008.html?search=1,https://static-01.daraz.pk/original/1a23262d3592f0b878aa5f5bd0ee2632.jpg_340x340q80.jpg_.webp,"Rs. 113,999",3407444_PK-1247135008,"Inverter technology R410A
Energy efficient
Brand Warranty
Noiseless Operation
Easy maintenance
Brand warranty
Elegant Body style",Gree,"1 x Indoor,1 x Outdoor,1 x Remote Controller,1 x Warranty Card",No,No,1 year parts warranty,Yes,N/A,N/A,N/A,N/A,N/A,N/A,24cith11s
Gree 18CITHI 12G- DC Inverter AC - 1.5 Ton,www.daraz.pk/products/gree-18cithi-12g-dc-inverter-ac-15-ton-i130543201-s1290395305.html?search=1,https://static-01.daraz.pk/p/mdc/18b18a25eef375589e6afc162ec2a814.jpg_340x340q80.jpg_.webp,"Rs. 87,800",130543201_PK-1290395305,,Gree,"Installation Kit, Wires, Warranty Card, Remote & Manual",Yes,Yes,3 Years Compressor & 1 Year Parts Warranty, AC - 1.5 Ton,"Inverter,Air Direction Control,Fast Cooling,Silent Mode,Sensor Control",N/A,N/A,N/A,N/A,N/A,Gree 18CITHI 12G- DC Inverter AC - 1.5 Ton
Gree 1.5 Ton Dc Inverter AC Heat & Cool R-410A Air Conditioner - 18cith12W - White,www.daraz.pk/products/gree-15-ton-dc-inverter-ac-heat-cool-r-410a-air-conditioner-18cith12w-white-i109232347-s1259300466.html?search=1,https://static-01.daraz.pk/p/d1ff122cad6c58132454b05df3524c1b.jpg_340x340q80.jpg_.webp,"Rs. 84,999",109232347_PK-1259300466,"Gree Electric Appliances Inc. of Zhuhai was founded in 1991. It is an international air conditioning enterprise which has integrated R&D, manufacturing, marketing, and service. It takes “Master of Core Technology” as the business concept and “To build a centenary enterprise” as the development target. It is leading the industry with its excellent product quality, advanced technologies, and unique sales model. So far, it has developed three brands, namely GREE, TOSOT, and KINGHOME, with a wide product range which includes residential air conditioners, central air conditioners, air source water heaters, TOSOT home appliances, Kinghome refrigerators, etc

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with its instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded with Finesse & Style

A visually appealing addition to the room never goes unnoticed, the ultimate inverter AC offers a wide range of superb features with a great look that will add on to your rooms.

Electricity Bill is No Worry!

The Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. This Inverter AC has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, it will take care of your pocket.

Free Installation Services:

Free Installation is Only available for those items where Installation offer is displayed.Free Installation is available in Karachi, Lahore & Islamabad Only.

After the product has been delivered, you are welcome to contact one of our authorized service engineers to facilitate the installation. You can find details of the installation partners and their coverage areas in the link shared below. Installation TAT is typically 2-5 days depending on the location and the partner.

When booking an installation with one of our partners, you must always provide your order number. If any free installation offer is available, we will need the order number for identification.

Click on the link to avail free installation offer:https://www.daraz.pk/installation-services/",Gree,"1 x Indoor,1 x Outdoor,1 x Remote Controller,1 x Warranty Card",No,Yes,1 year parts warranty,Yes,N/A,N/A,N/A,N/A,N/A,N/A,18cith12w
AC Dawlance Inspire Plus Inverter 30 1.5 Ton Split Saving 26000 Yearly,www.daraz.pk/products/ac-dawlance-inspire-plus-inverter-30-15-ton-split-saving-26000-yearly-i115558937-s1267492811.html?search=1,https://static-01.daraz.pk/p/dbad0e0d9a88e5b1385185dabc5e2272.jpg_340x340q80.jpg_.webp,"Rs. 77,805",115558937_PK-1267492811,"Specifications
Capacity 1.5 Ton
Room Size Min 140sqft - Maz 225sqft
Colors Maroon Golden",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,",Fast Cooling,Silent Mode","Inverter,Fast Cooling,Silent Mode",Multi Split System 3,Energy Saving Yearly 26000,18000,240 SqFt,3512,Inspire Plus Inverter 30 1.5 Ton
Gree Inverter Air Conditioner - GS-24FITH4WB - Fairy Inverter Series - White,www.daraz.pk/products/gree-inverter-air-conditioner-gs-24fith4wb-fairy-inverter-series-white-i134406708-s1294787584.html?search=1,https://static-01.daraz.pk/p/bf9f439c75fda525476026864876c072.jpg_340x340q80.jpg_.webp,"Rs. 112,000",134406708_PK-1294787584,"Gree Inverter Air Conditioner - GS-24FITH4WB - Fairy Inverter Series - 02ton - White

TECHNICAL

BTU Capacity	

24000 BTU


Compressor W	

6700


Low Voltage Startup	

150V


Eco Friendly Refrigerant	

R410A


Energy Efficient Class A+	

60% Electricity saving

 

COOLING

BTU/H Capacity (H/S/L*)	

27978/22000/11600


Output Capacity (W) (H/S/L*)	

8200/6700/2000


Power Input (W)(H/S/L*)	

3700/1876/400


Energy Efficiency Ratio (EER)	

3.7

 

HEATING

BTU/H Capacity (H/S/L*)	

29000/24900/6820


Output Capacity (W) (H/S/L*)	

8500/7300/2000


Power Input (W)(H/S/L*)	

3800/1945/450


Energy Efficiency Ratio (EER)	

3.7",Gree,"Inverter Air Conditioner,Warranty Card,Manual",Yes,Yes,03 Year Compressor Warranty & 01 Year Parts Warranty, Series,N/A,N/A,N/A,N/A,N/A,N/A,Fairy Inverter Series
Gree -AC-18CITH11B-DC Inverter AC,www.daraz.pk/products/gree-ac-18cith11b-dc-inverter-ac-i118030342-s1271100736.html?search=1,https://laz-img-cdn.alicdn.com/tfs/TB13MLwbOLaK1RjSZFxXXamPFXa-300-200.png,"Rs. 86,499",118030342_PK-1271100736,"Gree Electric Appliances Inc. of Zhuhai was founded in 1991. It is an international air conditioning enterprise which has integrated R&D, manufacturing, marketing, and service. It takes “Master of Core Technology” as the business concept and “To build a centenary enterprise” as the development target. It is leading the industry with its excellent product quality, advanced technologies, and unique sales model. So far, it has developed three brands, namely GREE, TOSOT, and KINGHOME, with a wide product range which includes residential air conditioners, central air conditioners, air source water heaters, TOSOT home appliances, Kinghome refrigerators, etc.

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with its instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.

Loaded with Finesse & Style

A visually appealing addition to the room never goes unnoticed, the ultimate inverter AC offers a wide range of superb features with a great look that will add on to your rooms.

Electricity Bill is No Worry!

The Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. This Inverter AC has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, it will take care of your pocket.

Summer Would be Cooler than Ever!",Gree,"Installation Kit, Wires, Warranty Card, Remote & Manual",Yes,Yes,3 Year Compressor & 1 year Parts, Air Conditioner,"Inverter,Fast Cooling,Silent Mode",N/A,This Inverter Split Air Conditioner will make this summer cooler than ever with its instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling.,N/A,N/A,N/A,Gree GS-18CITH11B - DC Inverter Air Conditioner
AC Gree GS-12CITH13M DC Inverter Lomo Series 1 Ton (Wifi) Split 60% to 70% Energy Saving,www.daraz.pk/products/ac-gree-gs-12cith13m-dc-inverter-lomo-series-1-ton-wifi-split-60-to-70-energy-saving-i110042394-s1260722365.html?search=1,https://static-01.daraz.pk/p/a40e791279674cc29fd7689be7ef7708.jpg_340x340q80.jpg_.webp,"Rs. 65,382",110042394_PK-1260722365,"Specifications
Title GS-12LITH11M/12W
Capacity12000 BTU
Compressor W 3517
BTU/H Cooliing Capacity (H/S/L): 12970/12000/4172
Cooling Output Capacity (W) (H/S/L): 3800/3500/1220
Cooling Power Input (W) (H/S/L): 1560/1060/295
EER 3.74
BTU/H Heating Capacity (H/S/L): 14660/13650/4480
Heating Cooling Output Capacity (W) (H/S/L): 4740/4000/1310
Heating Power Input (W) (H/S/L): 1420/1100/330",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,Yes,"Inverter,Wifi Connected,Air Direction Control,Auto Cleaning,Silent Mode,Sensor Control",Multi Split System 4,Energy Saving 60% to 70%,12000,186 sqft,3512,GS-12CITH13M
AC Dawlance Inspire Plus Inverter 30 1.5 Ton Split Saving 26000 Yearly,www.daraz.pk/products/ac-dawlance-inspire-plus-inverter-30-15-ton-split-saving-26000-yearly-i109830097-s1260278793.html?search=1,https://static-01.daraz.pk/p/5a56271e6f028509b304b7b1908638ff.jpg_340x340q80.jpg_.webp,"Rs. 81,900",109830097_PK-1260278793,"Specifications
Capacity 1.5 Ton
Room Size Min 140sqft - Maz 225sqft
Colors Maroon Golden",Gree,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,",Air Direction Control","Inverter,Air Direction Control",Multi Split System 3,Energy Saving Yearly 26000,18000,240 SqFt,3512,Inspire Plus Inverter 30 1.5 Ton
